0.9555 | (30, 30) | 10 | (10, 10) | (2, 2) | L1 | rbf | ovr | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.9555 | (30, 30) | 10 | (10, 10) | (2, 2) | L1 | rbf | ovo | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L1_cell-size=10*10_orientations=10.tiff
0.936 | (30, 30) | 10 | (10, 10) | (2, 2) | L2 | linear | ovr | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.936 | (30, 30) | 10 | (10, 10) | (2, 2) | L2 | linear | ovo | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.959 | (30, 30) | 10 | (10, 10) | (2, 2) | L2 | rbf | ovr | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.959 | (30, 30) | 10 | (10, 10) | (2, 2) | L2 | rbf | ovo | _feature_vectors_image-size=30*30_block-size=2*2_block-norm=L2_cell-size=10*10_orientations=10.tiff
0.654 | (30, 30) | 10 | (20, 20) | (1, 1) | L1 | linear | ovr | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.654 | (30, 30) | 10 | (20, 20) | (1, 1) | L1 | linear | ovo | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.725 | (30, 30) | 10 | (20, 20) | (1, 1) | L1 | rbf | ovr | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.725 | (30, 30) | 10 | (20, 20) | (1, 1) | L1 | rbf | ovo | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L1_cell-size=20*20_orientations=10.tiff
0.6745 | (30, 30) | 10 | (20, 20) | (1, 1) | L2 | linear | ovr | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=10.tiff
0.6745 | (30, 30) | 10 | (20, 20) | (1, 1) | L2 | linear | ovo | _feature_vectors_image-size=30*30_block-size=1*1_block-norm=L2_cell-size=20*20_orientations=10.tiff
